Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Austria,3.375722147,1.267168189,1.651553922,0.941470921,2.735120222,2.244065325,3.454041836,3.727415301,1.460423676,-3.764578178,1.837093677,2.922797284,0.680445577,0.025504712,0.661272849,1.014501586,2.082608428,2.476443921,2.419763638,1.612959328
Belgium,3.716677113,1.09961616,1.706889159,1.037953053,3.571192891,2.32173738,2.552353767,3.676918241,0.446916545,-2.020725816,2.864285327,1.694497446,0.739229905,0.45922805,1.57852323,2.032788973,1.478300769,1.903862139,1.487634836,1.404455201
Bulgaria,4.782042329,3.817240033,5.953033877,5.151841505,6.441859686,7.153541834,6.802165969,6.557082321,6.085627082,-3.42357082,0.569823565,2.350980456,0.360583188,0.318735761,1.894547142,3.989526269,3.81153783,3.506604774,3.084189801,3.371615546
Croatia,3.278903636,3.346698704,5.11601335,5.640290047,4.160412101,4.314036876,5.000809144,5.266387536,1.759642107,-7.359418089,-1.49643077,-0.309789162,-2.237647541,-0.548548489,-0.103928497,2.437170928,3.483703076,3.13913464,2.694689228,2.93606564
Cyprus,5.965305338,3.952543113,3.722961077,2.623277743,5.026308655,4.852990324,4.713816363,5.098057233,3.646807042,-2.01526267,2.014706536,0.401443114,-3.446811823,-6.553077558,-1.863716857,3.374668503,6.746599362,4.361237966,4.056632292,3.230090314
Czechia,4.266741359,2.908764881,1.652494054,3.60298946,4.906563763,6.533468805,6.853522334,5.602643684,2.682282726,-4.802572092,2.273420054,1.777833186,-0.799844281,-0.483671042,2.715116133,5.309238518,2.450542386,4.35260352,2.846057677,2.565931233
Denmark,3.746862614,0.823153021,0.466345549,0.390058529,2.668219291,2.336641325,3.913007941,0.909238959,-0.512016735,-4.906547729,1.87099111,1.336777778,0.226499797,0.933340957,1.619393817,2.34259043,3.245957666,2.036165206,2.391329685,2.365846456
Estonia,10.10651953,5.979603215,6.802390752,7.56669175,6.767457153,9.490296783,9.718758739,7.573580739,-5.088942028,-14.43386839,2.690331938,7.443934844,3.124843192,1.346187836,2.987325819,1.84488518,2.631567906,5.748802092,4.761158469,4.334487473
Finland,5.773365748,2.609747454,1.707101852,2.003701547,3.992337766,2.779621083,4.027450761,5.299005391,0.784016815,-8.074615575,3.185911572,2.547530337,-1.397354558,-0.902018497,-0.364940281,0.543559262,2.710516404,3.100383586,1.630081492,0.97958181
France,3.923669204,1.983721402,1.135531488,0.823160778,2.829752929,1.66322,2.449323601,2.424736238,0.254945946,-2.873313852,1.949437633,2.192700652,0.313134742,0.576326679,0.956183048,1.112912341,1.095464395,2.291419985,1.792863954,1.508594035
Germany,2.895186947,1.697732361,-0.198459063,-0.713533477,1.1899149,0.721853765,3.814587905,2.984077273,0.962266442,-5.697151628,4.178969038,3.924133418,0.41955108,0.428243262,2.225688749,1.739749823,2.229999967,2.465030029,1.527446298,0.564174893
Greece,3.919770758,4.131612081,3.922871813,5.794531239,5.06099261,0.59914208,5.652433669,3.273746904,-0.335172577,-4.300733661,-5.479037102,-9.13249413,-7.300493961,-3.241425056,0.739777139,-0.437833938,-0.190952296,1.505099339,1.934370883,1.870869674
Hungary,4.479191685,4.074093318,4.741278865,4.084526805,4.822851425,4.243625768,4.031013321,0.242177777,1.058291669,-6.699554727,0.664291825,1.819079958,-1.471788851,1.962984049,4.195082409,3.845557706,2.199998761,4.322809001,5.094002564,4.927792275
Iceland,4.891593312,3.898810674,0.681171,2.268136975,8.042204823,6.33000007,5.248821179,9.365319366,1.991980819,-6.777215089,-3.4358756,1.881620325,1.296437613,4.133851125,2.08262316,4.748984991,6.627036642,4.545982894,3.814422976,1.918676882
Ireland,9.445750602,5.278431341,5.919816051,3.019969048,6.721353321,5.700089237,5.070901037,5.32426724,-4.480383335,-5.079212673,1.809979744,0.343440795,0.225714843,1.351634004,8.556687985,25.16253305,3.677815811,8.145296156,8.169870933,5.549767053
Italy,3.786955143,1.951371556,0.253942999,0.138626891,1.423594158,0.817848974,1.790639681,1.48707298,-0.962012841,-5.280937208,1.713295839,0.707333347,-2.980905768,-1.841065451,-0.004547542,0.778304351,1.293462732,1.667859041,0.798119353,0.301256161
Latvia,5.595198197,6.319061922,7.115967072,8.436383846,8.34135916,10.743382,11.88809669,10.01085145,-3.346367079,-14.23814673,-4.473441198,6.285118615,4.13423165,2.328004263,1.915190378,3.260524381,1.773809577,3.787313758,4.284825163,2.197441768
Lithuania,3.831667298,6.524430686,6.76074952,10.53856495,6.550083061,7.727407902,7.406444213,11.08695428,2.628077961,-14.81416316,1.482232441,6.025638091,3.833302764,3.558424631,3.507971217,2.033148074,2.555939567,4.247576754,3.644756532,3.930407976
Luxembourg,8.239799144,2.531975137,3.819469658,1.629286955,3.61217677,3.172442781,5.178485863,8.354553277,-1.279585581,-4.358606952,4.864968492,2.539234883,-0.352519229,3.654370259,4.29678635,4.306432538,4.574600283,1.801181703,3.110836266,2.296979166
Malta,6.770193911,0.608353735,2.982818376,2.543768573,0.443412531,3.783652259,1.828716884,3.986448706,3.346512731,-2.462277722,3.542683214,1.359032199,2.794168722,4.838855793,8.790634242,10.85764213,5.830075673,6.471192809,7.314223828,4.384096283
Netherlands,4.195642482,2.326955106,0.217273561,0.155646066,1.984945696,2.050876074,3.460989001,3.772842518,2.17032479,-3.666884025,1.342739444,1.551189252,-1.030354007,-0.130175229,1.42339541,1.959169691,2.191713719,2.910902584,2.597453618,1.810503082
Norway,3.204979222,2.074790394,1.44625414,0.910105664,3.96941456,2.625457626,2.399790821,2.994251851,0.476379999,-1.727020309,0.701833824,0.981469497,2.703073855,1.034072914,1.969544301,1.967128438,1.071558977,2.323258407,1.289548201,1.154721939
Poland,4.55954936,1.247967922,2.04162374,3.562466665,5.135650812,3.493225216,6.179335206,7.035226715,4.249788306,2.820124816,3.607522434,5.0172352,1.607906645,1.391892321,3.318447537,3.839071339,3.063908116,4.937663245,5.349025115,4.147023756
Portugal,3.816177846,1.943672482,0.770924141,-0.930520582,1.788735171,0.781848108,1.625033854,2.506579989,0.319248559,-3.122080097,1.73762581,-1.696165744,-4.057294359,-0.922643787,0.792190538,1.792046853,2.01948623,3.506343238,2.637245523,2.164403593
Romania,2.461263459,5.218136257,5.70299165,2.341147329,10.42811302,4.668148051,8.028811076,7.233807744,9.307467171,-5.517394408,-3.90123628,2.007156244,2.077165007,3.514551804,3.4108091,3.871522323,4.800799906,7.111440633,4.436856007,4.07954831
Serbia,6.131813239,6.878775068,6.380401539,4.387755373,9.028202122,5.530346614,5.107787883,6.439530929,5.655574501,-2.731753651,0.731046443,2.036275726,-0.681542133,2.892634162,-1.589506184,1.776320973,3.340329069,2.049307675,4.392240032,4.1870987
Slovakia,1.166527158,3.253786843,4.509441533,5.499083878,5.278880348,6.623461609,8.493176949,10.8320279,5.57488636,-5.455532237,5.720844799,2.864442948,1.895810812,0.670844582,2.752434331,4.821918506,2.123319035,3.046335953,3.896744466,2.398568858
Slovenia,3.672368992,3.216561044,3.505599388,2.960260248,4.359193036,3.797970491,5.746396934,6.980162428,3.509841226,-7.54843872,1.343748476,0.861329049,-2.639438729,-1.029283831,2.76815802,2.210081624,3.121699782,4.833382913,4.118217859,2.442991915
Spain,5.24599468,3.932948843,2.731022232,2.981894836,3.122795242,3.652032674,4.102727115,3.604687971,0.887145182,-3.763231927,0.163010231,-0.814373455,-2.959441302,-1.435394259,1.383907943,3.83517266,3.03130133,2.891768107,2.351008131,1.979100561
Sweden,4.766348871,1.449498618,2.196921062,2.30981059,4.336856154,2.85880324,4.662773552,3.439221776,-0.450559257,-4.339790575,5.952107008,3.195333235,-0.588304569,1.187775716,2.657798275,4.489281588,2.070593151,2.567924525,1.950022846,1.194853426
Switzerland,3.936823452,1.312423646,0.162612928,0.039576552,2.776223502,3.115245534,3.988634218,4.111877802,2.154701875,-2.22210711,3.002699098,1.692808496,1.006024094,1.852039766,2.449218087,1.333369082,1.722740656,1.799408986,2.750553714,0.92883244
United Kingdom,3.437471622,2.97436368,2.324351102,3.286377571,2.373951441,3.179728924,2.788324559,2.430553212,-0.28115359,-4.247821747,1.949521482,1.540147368,1.478923947,2.139485701,2.607475906,2.355524306,1.918155106,1.892077038,1.340720577,1.408642101